Variable,Definition,Value
court,Court in which case was filed,character
casenum,Case number assigned to case by court,character
casetype,"Two-letter case type (e.g., ""CF"" for felony, ""CM"" for misdemeanor)",character
file_year,Calendar year of case filing,integer
file_date,Date of case filing,date
close_date,Date case was closed,date
judge,Judge initally assigned to the case,character
plaintiff,First name associated with a plaintiff in the list of parties,character
defname,First name associated with a defendant in the list of parties,character
iss_desc,Free-text description of top (first) count listed on case at time of initial data collection,character
issue,"OJO-generated description of the case issue; possible values are ""EVICTION"", ""DEBT"", ""FORECLOSURE"", and ""OTHER"".",character
disp_date,Date of disposition of top count,date
disp_case,"For OSCN courts, the last disposition entered in a case.

For ODCR courts, count-level dispositions are not available. In these cases, the code searches the text in the minute description with one of the following character strings is assumed to be the disposition: ""DEFAULT"" indicating ""DEFAULT JUDGMENT""; ""DISMISS"" indicating ""DISMISSED""; ""MEDIA"" indicating ""MEDIATION""; or ""JUDG"" indicating ""JUDGMENT"". The strings are searched in the above order, and the last minute containing one of the strings is used as the case disposition. ",character
summary_date,Date that case summary data was compiled,date
